xountry,count
Mexico,"432,770"
Guatemala,"14,260"
Peru,"4,790"
Brazil,"3,940"
Colombia,"3,040"
Philippines,"2,460"
Venezuela,"1,600"
Dominican Republic,"1,420"
Bolivia,"1,100"
Nicaragua,"1,050"
Chile,950
Poland,800
Guyana,600
Indonesia,520
Kenya,450
Bangladesh,330
Portugal,310
United Kingdom,290
Italy,240
The Bahamas,210
Albania,190
Saint Lucia,150
Jordan,140
Paraguay,130
South Africa,120
Republic of Turkiye,120
United States,120
United Arab Emirates,110
Haiti,110
France,100
Senegal,90
Russia,90
Cameroon,90
Japan,90
Morocco,80
Romania,80
Greece,70
Spain,70
Suriname,70
Barbados,60
Lebanon,60
Fiji,60
North Macedonia,50
Uganda,50
Antigua and Barbuda,40
Bulgaria,40
Cabo Verde,40
Norfolk Island,40
Australia,40
Nepal,30
Netherlands,30
Singapore,30
Uzbekistan,30
Samoa,30
Ethiopia,30
Qatar,20
British Virgin Islands,20
Estonia,20
Sweden,20
Serbia,20
Gabon,20
Liberia,20
Ireland,10
Republic of the Congo,10
Algeria,10
Syria,10
Bermuda,10
Montserrat,10
Azerbaijan,10
Netherlands Antilles,10
Croatia,10
Belarus,10
Sint Maarten,10
Burkina Faso,10
Afghanistan,10
Burundi,10
Iraq,10
Somalia,10
Georgia,10
Namibia,10
El Salvador,"21,080"
Honduras,"13,100"
South Korea,"4,650"
Ecuador,"3,620"
Argentina,"2,540"
Jamaica,"1,750"
India,"1,590"
Uruguay,"1,280"
Trinidad and Tobago,"1,100"
Costa Rica,"1,010"
Pakistan,830
Nigeria,720
Belize,530
Canada,510
China,390
Ghana,320
Mongolia,310
Panama,280
Israel,200
Taiwan,150
Germany,140
Zambia,140
Thailand,130
Hong Kong,120
Saudi Arabia,120
Egypt,120
Armenia,110
Malaysia,100
Ukraine,100
Lithuania,90
Sri Lanka,90
Zimbabwe,90
Korea,90
Grenada,80
Saint Vincent and the Grenadines,80
The Gambia,70
Sierra Leone,70
Malawi,60
Tanzania,60
Cote d'Ivoire,60
Hungary,60
Czech Republic,50
Iran,40
New Zealand,40
Tonga,40
Vietnam,40
Montenegro,40
Democratic Republic of the Congo,30
Kuwait,30
Cambodia,30
Angola,30
Turks and Caicos Islands,30
Slovakia,30
Mali,30
Saint Kitts and Nevis,20
Togo,20
Belgium,20
Austria,20
Bahrain,20
Botswana,20
Cayman Islands,10
Palestine,10
Yemen,10
Laos,10
Yugoslavia,10
Switzerland,10
Niger,10
Benin,10
Denmark,10
Oman,10
Libya,10
Kazakhstan,10
Latvia,10
Madagascar,10
Moldova,10
Macau,10
Slovenia,10
Lesotho,10
Luxembourg,10
